	sample	lambda
0	(3001, 4, 'CSM5FZ3N')	1.0
1	(3002, 5, 'CSM5FZ3X')	1.0
2	(3002, 6, 'CSM5FZ3Z')	1.0
3	(3002, 8, 'CSM5FZ44')	1.0
4	(3002, 9, 'CSM5FZ46')	1.0
5	(3003, 4, 'CSM5FZ48')	1.0
6	(3003, 5, 'CSM5FZ4E')	1.0
7	(3003, 6, 'CSM5FZ4G')	1.0
8	(3003, 7, 'CSM5FZ4I')	0.0
9	(3005, 4, 'CSM5FZ4O')	1.0
10	(3008, 4, 'CSM5MCU4')	1.0
11	(3004, 5, 'CSM5MCU6')	1.0
12	(3006, 6, 'CSM5MCUI')	0.44827595727053565
13	(3007, 5, 'CSM5MCV1')	1.0
14	(3007, 6, 'CSM5MCV3')	1.0
15	(3007, 7, 'CSM5MCV5')	0.9938871526624837
16	(3007, 4, 'CSM5MCVB')	1.0
17	(3001, 11, 'CSM5MCVD')	1.0
18	(3001, 12, 'CSM5MCVF')	0.9959917042375749
19	(3009, 4, 'CSM5MCVH')	0.4592808185324808
20	(3001, 13, 'CSM5MCVV')	1.0
21	(3008, 6, 'CSM5MCVZ')	1.0
22	(3009, 5, 'CSM5MCW8')	0.0
23	(3001, 6, 'CSM5YRY7')	1.0
24	(5004, 8, 'ESM5GEZ8')	1.0
25	(5004, 9, 'ESM5GEZA')	0.997435185883935
26	(5001, 12, 'ESM5ME9G')	0.0
27	(5008, 6, 'ESM5MEA7')	0.0
28	(5001, 13, 'ESM5MEBA')	0.0
29	(5008, 4, 'ESM5MEBL')	0.9964953420993704
30	(5004, 11, 'ESM5MEBQ')	0.0
31	(5001, 4, 'ESM5MEDZ')	1.0
32	(5001, 5, 'ESM5MEE2')	1.0
33	(5001, 7, 'ESM5MEE6')	1.0
34	(5001, 8, 'ESM5MEEA')	1.0
35	(5001, 9, 'ESM5MEEB')	0.9994293900938443
36	(5003, 4, 'ESM5MEEC')	0.9964459519384674
37	(5004, 4, 'ESM5MEEG')	0.9937150028731903
38	(5002, 4, 'ESM5MEET')	0.0
39	(4001, 9, 'HSM5FZBP')	0.0
40	(4001, 7, 'HSM5FZBQ')	0.0
41	(4001, 8, 'HSM5FZBR')	0.0
42	(4001, 6, 'HSM5FZBT')	0.9863248670677981
43	(4001, 5, 'HSM5FZBU')	0.988000780250496
44	(4014, 4, 'HSM5MD3L')	0.0
45	(4011, 5, 'HSM5MD3W')	0.0
46	(4010, 5, 'HSM5MD47')	0.0
47	(4006, 7, 'HSM5MD4A')	0.0
48	(4006, 6, 'HSM5MD4B')	1.0
49	(4006, 5, 'HSM5MD4C')	0.0
50	(4007, 7, 'HSM5MD4P')	0.0
51	(4007, 5, 'HSM5MD4R')	0.9995025742031057
52	(4001, 12, 'HSM5MD5H')	0.0
53	(4001, 11, 'HSM5MD7W')	0.0
54	(4007, 4, 'HSM5MD7Z')	1.0
55	(4006, 4, 'HSM5MD86')	0.0
56	(4010, 4, 'HSM5MD87')	0.0
57	(4011, 4, 'HSM5MD8J')	0.0
58	(2014, 4, 'MSM5FZ8Y')	0.0
59	(2010, 7, 'MSM5FZ9N')	0.20883331986985906
60	(2010, 8, 'MSM5FZ9Q')	0.017737080544420886
61	(2010, 9, 'MSM5FZ9S')	0.3002838106115958
62	(2010, 11, 'MSM5FZ9T')	0.0
63	(2014, 5, 'MSM5FZ9V')	0.5644415955331301
64	(2014, 7, 'MSM5FZ9Z')	0.0
65	(2014, 8, 'MSM5FZA2')	0.5268928425059528
66	(2008, 20, 'MSM5LLD8')	0.0
67	(2010, 13, 'MSM5LLE5')	1.0
68	(2010, 15, 'MSM5LLE9')	0.9929732050411757
69	(2021, 13, 'MSM5LLEN')	0.305286775331311
70	(2034, 5, 'MSM5LLEX')	0.0
71	(2026, 5, 'MSM5LLFK')	1.0
72	(2026, 7, 'MSM5LLFO')	0.0
73	(2026, 9, 'MSM5LLFS')	1.0
74	(2026, 11, 'MSM5LLFU')	1.0
75	(2014, 15, 'MSM5LLGD')	1.0
76	(2014, 13, 'MSM5LLGH')	0.0
77	(2014, 16, 'MSM5LLGJ')	1.0
78	(2028, 8, 'MSM5LLGT')	1.0
79	(2028, 9, 'MSM5LLGV')	0.0
80	(2028, 11, 'MSM5LLGX')	1.0
81	(2027, 7, 'MSM5LLH6')	0.0
82	(2025, 5, 'MSM5LLHE')	0.0
83	(2025, 6, 'MSM5LLHG')	0.0
84	(2025, 7, 'MSM5LLHI')	0.9515036448319201
85	(2025, 9, 'MSM5LLHK')	0.0
86	(2025, 8, 'MSM5LLHM')	0.0
87	(2025, 11, 'MSM5LLHO')	1.0
88	(2008, 13, 'MSM5LLHZ')	0.0
89	(2025, 4, 'MSM5LLIC')	0.0
90	(2021, 5, 'MSM5LLIE')	0.996628894875781
91	(2021, 8, 'MSM5LLIK')	0.9939139312892871
92	(2021, 9, 'MSM5LLIM')	1.0
93	(2021, 11, 'MSM5LLIO')	0.8937203525239622
94	(2026, 4, 'MSM5LLIQ')	1.0
95	(2027, 4, 'MSM5LLIS')	0.0
96	(2014, 9, 'MSM5ZOJY')	0.4543484708071934
97	(2014, 11, 'MSM633FF')	1.0
